Time,Object,Mass,X,Y,VX,VY,AX,AY
0.510,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.510,3,1000.000000,-1.963,0.198,-0.470,-5.907,16.983,-2.232
0.520,1,1000.000000,1.524,-4.646,2.783,1.385,-0.852,2.653
0.520,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.520,3,1000.000000,-1.968,0.139,-0.299,-5.925,17.050,-1.723
0.530,1,1000.000000,1.552,-4.633,2.774,1.412,-0.870,2.652
0.530,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.530,3,1000.000000,-1.971,0.080,-0.128,-5.937,17.101,-1.211
0.540,1,1000.000000,1.580,-4.618,2.766,1.438,-0.888,2.651
0.540,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.540,3,1000.000000,-1.972,0.021,0.043,-5.944,17.135,-0.696
0.550,1,1000.000000,1.607,-4.604,2.756,1.465,-0.907,2.651
0.550,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.550,3,1000.000000,-1.972,-0.039,0.214,-5.945,17.152,-0.180
0.560,1,1000.000000,1.635,-4.589,2.747,1.491,-0.925,2.650
0.560,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.560,3,1000.000000,-1.970,-0.098,0.386,-5.942,17.152,0.337
0.570,1,1000.000000,1.662,-4.575,2.738,1.518,-0.944,2.649
0.570,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.570,3,1000.000000,-1.966,-0.158,0.557,-5.934,17.136,0.854
0.580,1,1000.000000,1.690,-4.559,2.728,1.544,-0.962,2.648
0.580,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.580,3,1000.000000,-1.960,-0.217,0.728,-5.920,17.102,1.371
0.590,1,1000.000000,1.717,-4.544,2.718,1.571,-0.981,2.647
0.590,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.590,3,1000.000000,-1.953,-0.276,0.899,-5.901,17.052,1.887
0.600,1,1000.000000,1.744,-4.528,2.708,1.597,-1.000,2.646
0.600,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.600,3,1000.000000,-1.944,-0.335,1.069,-5.877,16.984,2.401
0.610,1,1000.000000,1.771,-4.512,2.698,1.623,-1.019,2.645
0.610,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.610,3,1000.000000,-1.933,-0.394,1.238,-5.848,16.899,2.913
0.620,1,1000.000000,1.798,-4.496,2.688,1.650,-1.038,2.644
0.620,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.620,3,1000.000000,-1.921,-0.452,1.406,-5.814,16.797,3.422
0.630,1,1000.000000,1.825,-4.480,2.677,1.676,-1.057,2.643
0.630,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.630,3,1000.000000,-1.907,-0.511,1.572,-5.774,16.678,3.927
0.640,1,1000.000000,1.852,-4.463,2.666,1.703,-1.076,2.642
0.640,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.640,3,1000.000000,-1.891,-0.568,1.738,-5.730,16.542,4.428
0.650,1,1000.000000,1.879,-4.446,2.655,1.729,-1.096,2.641
0.650,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.650,3,1000.000000,-1.874,-0.626,1.902,-5.681,16.389,4.924
0.660,1,1000.000000,1.905,-4.428,2.644,1.756,-1.115,2.639
0.660,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.660,3,1000.000000,-1.855,-0.682,2.064,-5.627,16.220,5.415
0.670,1,1000.000000,1.932,-4.411,2.633,1.782,-1.135,2.638
0.670,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.670,3,1000.000000,-1.834,-0.739,2.224,-5.568,16.035,5.899
0.680,1,1000.000000,1.958,-4.393,2.621,1.808,-1.155,2.637
0.680,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.680,3,1000.000000,-1.812,-0.794,2.383,-5.504,15.833,6.376
0.690,1,1000.000000,1.984,-4.375,2.610,1.835,-1.175,2.635
0.690,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.690,3,1000.000000,-1.788,-0.849,2.539,-5.435,15.616,6.845
0.700,1,1000.000000,2.010,-4.357,2.598,1.861,-1.195,2.634
0.700,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.700,3,1000.000000,-1.763,-0.904,2.693,-5.362,15.383,7.306
0.710,1,1000.000000,2.036,-4.338,2.586,1.887,-1.215,2.632
0.710,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.710,3,1000.000000,-1.736,-0.957,2.844,-5.285,15.135,7.759
0.720,1,1000.000000,2.062,-4.319,2.573,1.914,-1.235,2.631
0.720,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.720,3,1000.000000,-1.707,-1.010,2.993,-5.203,14.872,8.202
0.730,1,1000.000000,2.088,-4.300,2.561,1.940,-1.255,2.629
0.730,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.730,3,1000.000000,-1.678,-1.062,3.139,-5.116,14.594,8.634
